# Hand-maintained dimensions for ICAO type designators that openap does not
# cover.  openap wins where both have a value; this file only fills the gaps,
# and a blank cell simply renders as "-" on the display.  Corrections and new
# rows are welcome - rerun tools/make_aircraft_db.py afterwards.
#
# span_m     wingspan in metres.  For helicopters put the MAIN ROTOR DIAMETER
#            here; the firmware labels it ROTOR when Doc 8643 says Helicopter.
# len_m      overall length in metres (fuselage nose to tail).
# mtow_t     maximum take-off weight in tonnes.
# cruise_kt  typical cruise true airspeed in knots.
# mfr,model  optional, and only used for the handful of codes ICAO Doc 8643 does
#            not list at all (pw-silhouettes' own B190C/B190D, common shorthands
#            like UH60 or KC30).  Leave empty everywhere else - Doc 8643 wins.
icao,span_m,len_m,mtow_t,cruise_kt,note,mfr,model
# ---- Airbus ----
A306,44.84,54.08,171.7,470,A300-600
A30B,44.84,53.62,165.0,470,A300B4
A310,43.90,46.66,164.0,470,
A3ST,44.84,56.16,155.0,400,Beluga
A337,60.30,63.10,227.0,470,BelugaXL
A338,64.00,58.82,251.0,470,A330-800neo
A339,64.00,63.66,251.0,470,A330-900neo
A342,60.30,59.42,275.0,481,A340-200
A345,63.45,67.93,372.0,490,A340-500
A346,63.45,75.36,380.0,490,A340-600
A35K,64.75,73.79,319.0,488,A350-1000
A124,73.30,69.10,405.0,432,An-124
A225,88.40,84.00,640.0,430,An-225
A400,42.40,45.10,141.0,422,A400M Atlas
A140,24.50,22.60,21.5,310,An-140
A148,28.91,29.13,43.7,435,An-148
A158,28.91,34.36,43.7,435,An-158
A748,30.02,20.42,21.1,244,HS 748
BCS1,35.10,35.00,63.1,447,A220-100
BCS3,35.10,38.70,69.9,447,A220-300
# ---- Boeing / McDonnell Douglas ----
B712,28.45,37.81,54.9,438,717-200
B721,32.92,40.59,76.7,470,727-100
B722,32.92,46.69,95.0,470,727-200
B732,28.35,30.53,52.4,430,737-200
B733,28.88,33.40,62.8,430,737-300
B735,28.88,31.00,60.6,430,737-500
B736,34.32,31.20,65.5,447,737-600
B741,59.64,70.66,333.4,490,747-100
B742,59.64,70.66,377.8,490,747-200
B743,59.64,70.66,377.8,490,747-300
B74D,64.44,70.66,385.6,490,747-400D,BOEING,747-400D
B74S,59.64,56.31,315.7,490,747SP
B753,38.05,54.47,123.6,461,757-300
B762,47.57,48.51,142.9,470,767-200
B764,51.92,61.37,204.1,470,767-400
B77L,64.80,63.73,347.5,490,777-200LR
B778,71.75,69.80,351.5,490,777-8
B779,71.75,76.70,351.5,490,777-9
B78X,60.12,68.28,254.0,488,787-10
B461,26.21,26.19,38.1,370,BAe146-100
B462,26.34,28.60,42.2,370,BAe146-200
